graphite_g,carbon_black_g,CMC_g,solvent_g,yield_stress,n,K
20,1.25,0.8,30,0.071852851,0.712711339,2.340370075
20,1.25,0.8,30,0.066118647,0.714534351,2.540180468
20,1.25,0.8,30,0.077927358,0.717702434,2.493492893
20,1.5,0.8,30,0.20509762,0.70118579,3.533644305
20,1.5,0.8,30,0.193983361,0.684821435,3.550453139
20,1.5,0.8,30,0.238782752,0.692230769,3.368465761
20,1.75,0.8,30,0.363755897,0.70407607,3.825372508
20,1.75,0.8,30,0.35431801,0.697127999,4.005569631
20,1.75,0.8,30,0.326852884,0.687122646,4.02941907
20,2,0.8,30,0.797459303,0.695545787,5.108431592
20,2,0.8,30,0.791295467,0.692699483,5.172016573
20,2,0.8,30,0.826510229,0.69150969,5.025533372
20,2.25,0.8,30,1.280352369,0.6849495,5.698427707
20,2.25,0.8,30,1.23206487,0.685064439,5.765942128
20,2.25,0.8,30,1.282439885,0.682965136,5.895168362
20,2.5,0.8,30,2.405079955,0.690599953,7.400081709
20,2.5,0.8,30,2.517569601,0.691009375,7.731928238
20,2.5,0.8,30,2.438425999,0.692148129,7.113255608
20,2.75,0.8,30,3.323695829,0.685686179,8.560828979
20,2.75,0.8,30,3.409137099,0.689525054,8.035377741
20,2.75,0.8,30,3.618532995,0.693808347,7.858971169
20,3,0.8,30,4.829822063,0.681395492,9.633902959
20,3,0.8,30,4.898634776,0.68254655,9.446418997
20,3,0.8,30,5.006067321,0.682488078,9.436853083
